t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
2.0,27,adjusting,1.2,travel,1,0,0,0,0.136,0,1.596,183.2,313.8,313.8,176.8,130.5,travel_path:adjusting
2.0,28,adjusting,0.967,travel,0,0,0,0,0.259,0,0.2,232.6,0.0,327.6,127.4,95.0,travel_path:adjusting
2.0,29,adjusting,0.3,travel,1,0,0,0,0.198,0,2.695,276.8,240.9,240.9,83.2,36.0,travel_path:adjusting
2.0,30,turning,0.033,travel,1,0,0,0,0.627,0,1.919,289.6,312.3,312.3,70.4,22.7,travel_path:turning
2.0,31,adjusting,1.033,travel,1,0,0,0,0.217,0,0.697,255.5,255.5,255.5,104.5,0.0,travel_path:adjusting
2.0,33,adjusting,1.7,travel,1,0,0,0,0.247,0,0.955,326.4,51.1,51.1,33.6,84.7,travel_path:adjusting
2.0,34,adjusting,0.733,travel,1,0,0,0,0.241,0,1.253,347.5,266.5,266.5,12.5,81.0,travel_path:adjusting
2.0,35,adjusting,0.3,travel,1,0,0,0,0.203,0,1.298,343.6,183.8,183.8,16.4,159.7,travel_path:adjusting
2.0,36,adjusting,1.267,travel,1,0,0,0,0.4,0,4.216,206.5,72.7,72.7,153.5,133.8,travel_path:adjusting
2.0,37,turning,0.033,travel,1,0,0,0,0.6,0,0.897,69.8,35.0,35.0,69.8,34.8,travel_path:turning
2.0,38,adjusting,1.767,travel,1,0,0,0,0.418,0,1.607,149.7,240.7,240.7,149.7,91.0,travel_path:adjusting
2.0,39,turning,0.133,travel,1,0,0,0,0.339,0,0.903,262.2,9.2,9.2,97.8,107.0,travel_path:turning
2.5,0,adjusting,1.967,travel,1,0,0,0,0.451,0,4.107,69.2,110.5,110.5,69.2,41.3,travel_path:adjusting
2.5,3,adjusting,1.967,travel,1,0,0,0,0.23,0,1.372,118.3,134.5,134.5,118.3,16.2,travel_path:adjusting
2.5,4,adjusting,1.167,travel,1,0,0,0,0.221,0,1.303,304.8,27.8,27.8,55.2,83.1,travel_path:adjusting
2.5,5,adjusting,1.333,travel,1,0,0,0,0.151,0,1.021,329.4,265.2,265.2,30.6,64.3,travel_path:adjusting
2.5,8,adjusting,0.067,travel,0,0,0,0,0.087,0,0.275,25.1,0.0,21.8,25.1,3.4,travel_path:adjusting
2.5,10,adjusting,1.867,travel,1,0,0,0,0.443,0,1.174,91.7,69.6,69.6,91.7,22.1,travel_path:adjusting
2.5,11,turning,0.1,travel,1,0,0,0,0.222,0,0.679,41.1,81.4,81.4,41.1,40.4,travel_path:turning
2.5,12,adjusting,1.333,travel,1,0,0,0,0.204,0,0.936,281.6,236.5,236.5,78.4,45.1,travel_path:adjusting
2.5,13,turning,0.833,travel,1,0,0,0,0.322,0,0.883,167.0,312.9,312.9,167.0,145.8,travel_path:turning
2.5,15,adjusting,1.133,travel,1,0,0,0,0.411,0,0.725,163.1,186.0,186.0,163.1,22.9,travel_path:adjusting
2.5,16,adjusting,0.467,travel,1,0,0,0,0.167,0,1.646,176.4,314.9,314.9,176.4,138.4,travel_path:adjusting
2.5,17,adjusting,1.467,travel,0,0,0,0,0.173,0,0.191,216.3,0.0,311.4,143.7,95.1,travel_path:adjusting
2.5,18,forming_up,0.1,travel,1,0,0,0,0.393,0,1.611,115.9,115.4,115.4,115.9,0.5,travel_path:forming_up
2.5,19,adjusting,1.5,travel,1,0,0,0,0.114,0,0.713,120.5,334.0,334.0,120.5,146.5,travel_path:adjusting
2.5,20,turning,0.367,travel,1,0,0,0,0.233,0,0.891,57.3,245.5,245.5,57.3,171.8,travel_path:turning
2.5,22,turning,0.1,travel,1,0,0,0,0.501,0,0.926,133.5,80.2,80.2,133.5,53.4,travel_path:turning
2.5,24,adjusting,2.333,travel,1,0,0,0,0.282,0,0.953,195.0,241.5,241.5,165.0,46.5,travel_path:adjusting
2.5,26,adjusting,2.367,travel,1,0,0,0,0.185,0,1.547,281.7,51.8,51.8,78.3,130.0,travel_path:adjusting
2.5,27,adjusting,1.7,travel,1,0,0,0,0.281,0,1.146,189.3,259.9,259.9,170.7,70.6,travel_path:adjusting
2.5,28,adjusting,1.467,travel,1,0,0,0,0.036,0,3.245,192.4,64.2,64.2,167.6,128.2,travel_path:adjusting
2.5,29,adjusting,0.8,travel,1,0,0,0,0.42,0,1.742,333.4,102.0,102.0,26.6,128.6,travel_path:adjusting
2.5,30,adjusting,0.3,travel,1,0,0,0,0.417,0,1.08,358.9,193.6,193.6,1.1,165.3,travel_path:adjusting
2.5,31,adjusting,1.533,travel,1,0,0,0,0.028,0,1.186,224.9,315.4,315.4,135.1,90.4,travel_path:adjusting
2.5,33,adjusting,2.2,travel,1,0,0,0,0.037,0,2.775,259.2,139.7,139.7,100.8,119.4,travel_path:adjusting
2.5,34,adjusting,1.233,travel,1,0,0,0,0.209,0,0.692,292.5,307.7,307.7,67.5,15.2,travel_path:adjusting
2.5,35,adjusting,0.8,travel,1,0,0,0,0.371,0,4.629,14.1,258.2,258.2,14.1,115.9,travel_path:adjusting
2.5,36,adjusting,1.767,travel,1,0,0,0,0.464,0,0.575,206.5,161.1,161.1,153.5,45.4,travel_path:adjusting
2.5,39,turning,0.633,travel,1,0,0,0,0.289,0,1.152,255.2,216.8,216.8,104.8,38.4,travel_path:turning
3.0,2,adjusting,2.733,travel,1,0,0,0,0.309,0,2.019,66.5,326.1,326.1,66.5,100.4,travel_path:adjusting
3.0,3,adjusting,2.467,travel,0,0,0,0,0.316,0,0.418,38.9,0.0,274.4,38.9,124.5,travel_path:adjusting
3.0,4,adjusting,1.667,travel,1,0,0,0,0.325,0,2.007,8.7,118.0,118.0,8.7,109.4,travel_path:adjusting
3.0,5,adjusting,1.833,travel,1,0,0,0,0.384,0,3.448,298.9,72.8,72.8,61.1,133.9,travel_path:adjusting
3.0,6,adjusting,1.933,travel,1,0,0,0,0.28,0,1.016,336.4,265.5,265.5,23.6,70.9,travel_path:adjusting
3.0,8,adjusting,0.567,travel,1,0,0,0,0.286,0,1.152,19.0,38.5,38.5,19.0,19.4,travel_path:adjusting
3.0,10,adjusting,2.367,travel,1,0,0,0,0.327,0,1.285,148.9,182.8,182.8,148.9,33.9,travel_path:adjusting
3.0,11,turning,0.6,travel,1,0,0,0,0.186,0,1.478,76.2,30.0,30.0,76.2,46.2,travel_path:turning
3.0,12,adjusting,1.833,travel,1,0,0,0,0.234,0,3.116,337.5,265.7,265.7,22.5,71.8,travel_path:adjusting
3.0,13,turning,0.1,travel,1,0,0,0,0.245,0,1.535,171.3,225.7,225.7,171.3,54.3,travel_path:turning
3.0,15,adjusting,1.633,travel,1,0,0,0,0.328,0,0.884,242.5,70.6,70.6,117.5,171.9,travel_path:adjusting
3.0,16,adjusting,0.967,travel,1,0,0,0,0.355,0,0.772,176.1,237.9,237.9,176.1,61.8,travel_path:adjusting
3.0,17,adjusting,1.967,travel,1,0,0,0,0.402,0,1.772,198.0,335.3,335.3,162.0,137.3,travel_path:adjusting
3.0,18,turning,0.433,travel,1,0,0,0,0.407,0,0.869,40.4,85.9,85.9,40.4,45.5,travel_path:turning
3.0,19,adjusting,2.0,travel,1,0,0,0,0.24,0,3.992,138.9,102.1,102.1,138.9,36.8,travel_path:adjusting
3.0,20,turning,0.033,travel,1,0,0,0,0.183,0,1.184,69.8,324.1,324.1,69.8,105.7,travel_path:turning
3.0,22,forming_up,0.133,travel,1,0,0,0,0.447,0,1.534,156.4,143.4,143.4,156.4,13.1,travel_path:forming_up
3.0,25,adjusting,2.933,travel,1,0,0,0,0.381,0,0.733,281.5,232.2,232.2,78.5,49.4,travel_path:adjusting
3.0,26,adjusting,2.867,travel,1,0,0,0,0.285,0,2.416,324.5,314.3,314.3,35.5,10.3,travel_path:adjusting
3.0,28,adjusting,1.967,travel,1,0,0,0,0.215,0,1.369,198.5,283.1,283.1,161.5,84.6,travel_path:adjusting
3.0,30,adjusting,0.8,travel,1,0,0,0,0.216,0,0.956,5.0,147.2,147.2,5.0,142.2,travel_path:adjusting
3.0,31,adjusting,2.033,travel,1,0,0,0,0.253,0,1.003,194.4,201.5,201.5,165.6,7.1,travel_path:adjusting
3.0,33,adjusting,2.7,travel,1,0,0,0,0.266,0,5.748,216.4,107.7,107.7,143.6,108.7,travel_path:adjusting
3.0,34,adjusting,1.733,travel,1,0,0,0,0.236,0,1.577,212.0,162.1,162.1,148.0,49.9,travel_path:adjusting
3.0,37,turning,0.433,travel,1,0,0,0,0.414,0,1.331,350.3,100.6,100.6,9.7,110.3,travel_path:turning
3.0,39,turning,0.067,travel,1,0,0,0,0.239,0,1.386,277.2,242.9,242.9,82.8,34.3,travel_path:turning
3.5,2,adjusting,3.233,travel,1,0,1,0,0.085,0,1.101,102.3,256.1,256.1,102.3,153.8,travel_path:adjusting
3.5,4,adjusting,2.167,travel,1,0,0,0,0.439,0,1.857,338.1,239.9,239.9,21.9,98.2,travel_path:adjusting
3.5,6,forming_up,0.1,travel,1,0,1,0,0.141,1,1.798,314.8,314.8,314.8,45.2,0.0,travel_path:forming_up
3.5,10,turning,0.2,travel,1,0,1,0,0.268,1,1.455,92.0,226.5,226.5,92.0,134.5,travel_path:turning
3.5,11,turning,1.1,travel,1,0,1,0,0.183,0,3.905,27.0,96.5,96.5,27.0,69.5,travel_path:turning
3.5,12,adjusting,2.333,travel,1,0,0,0,0.362,0,1.97,8.0,54.4,54.4,8.0,46.3,travel_path:adjusting
3.5,13,turning,0.6,unit,0,1,1,1,0.183,1,1.253,122.1,0.0,224.1,122.1,101.9,plant_dress_turn
3.5,15,adjusting,2.133,travel,1,0,1,0,0.198,0,2.148,297.5,32.5,32.5,62.5,95.0,travel_path:adjusting
3.5,18,turning,0.1,travel,1,0,1,0,0.377,0,4.187,34.3,296.4,296.4,34.3,97.9,travel_path:turning
3.5,19,turning,0.133,unit,0,1,1,1,0.451,1,0.858,92.4,0.0,145.2,92.4,52.8,plant_dress_turn
3.5,20,turning,0.533,travel,1,0,0,0,0.212,0,0.615,104.9,176.5,176.5,104.9,71.5,travel_path:turning
3.5,22,turning,0.467,travel,1,0,1,0,0.434,0,0.784,80.0,185.4,185.4,80.0,105.4,travel_path:turning
3.5,25,adjusting,3.433,travel,1,0,1,0,0.196,0,2.578,336.5,108.4,108.4,23.5,131.9,travel_path:adjusting
3.5,28,adjusting,2.467,travel,1,0,0,0,0.394,0,1.319,278.0,273.2,273.2,82.0,4.8,travel_path:adjusting
3.5,30,turning,0.167,unit,0,1,1,1,0.183,1,1.222,351.3,0.0,51.0,8.7,59.7,plant_dress_turn
3.5,33,turning,0.2,travel,1,0,1,0,0.469,1,1.629,252.4,59.6,59.6,107.6,167.2,travel_path:turning
3.5,34,turning,0.267,travel,1,0,1,0,0.301,1,1.967,234.6,134.6,134.6,125.4,100.1,travel_path:turning
3.5,37,turning,0.133,unit,0,1,1,1,0.252,1,1.165,350.6,0.0,123.8,9.4,133.2,plant_dress_turn
3.5,39,turning,0.567,travel,1,0,1,0,0.193,0,2.81,199.9,65.9,65.9,160.1,134.0,travel_path:turning
4.0,0,adjusting,3.467,travel,1,0,0,0,0.302,0,0.498,261.7,290.3,290.3,98.3,28.6,travel_path:adjusting
4.0,2,turning,0.1,travel,1,0,1,0,0.16,1,3.25,59.0,106.2,106.2,59.0,47.2,travel_path:turning
4.0,6,turning,0.4,travel,1,0,1,0,0.197,1,0.888,14.3,255.3,255.3,14.3,119.0,travel_path:turning
4.0,9,adjusting,3.167,travel,1,0,1,0,0.395,0,3.651,169.3,265.4,265.4,169.3,96.1,travel_path:adjusting
4.0,10,turning,0.233,travel,1,0,1,0,0.364,1,1.692,144.9,296.6,296.6,144.9,151.7,travel_path:turning
4.0,11,turning,0.333,travel,1,0,1,0,0.187,0,1.291,311.5,205.8,205.8,48.5,105.7,travel_path:turning
