t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
8.0,12,turning,0.2,unit,0,1,1,1,0.287,1,0.363,331.9,0.0,258.6,28.1,73.3,plant_dress_turn
8.0,13,turning,0.6,unit,0,1,1,1,0.369,1,0.501,56.2,0.0,140.1,56.2,83.8,plant_dress_turn
8.0,19,turning,0.3,unit,0,1,1,1,0.292,1,0.371,21.1,0.0,98.9,21.1,77.8,plant_dress_turn
8.0,26,turning,0.2,unit,0,1,1,1,0.308,1,0.212,331.9,0.0,263.9,28.1,68.0,plant_dress_turn
8.5,3,turning,0.167,travel,1,0,1,0,0.338,1,1.175,338.9,264.6,264.6,21.1,74.3,travel_path:turning
8.5,10,turning,0.1,travel,1,0,1,0,0.334,1,1.22,21.1,93.7,93.7,21.1,72.6,travel_path:turning
8.5,17,turning,0.167,travel,1,0,1,0,0.243,1,1.1,338.9,267.1,267.1,21.1,71.8,travel_path:turning
8.5,24,turning,0.1,travel,1,0,1,0,0.369,1,1.743,21.1,91.7,91.7,21.1,70.7,travel_path:turning
8.5,38,turning,0.1,travel,1,0,1,0,0.234,1,1.721,21.1,76.3,76.3,21.1,55.2,travel_path:turning
9.0,2,turning,0.333,unit,0,1,1,1,0.24,1,0.594,14.1,0.0,107.5,14.1,93.4,plant_dress_turn
9.0,23,turning,0.167,unit,0,1,1,1,0.172,1,0.398,338.9,0.0,248.8,21.1,90.2,plant_dress_turn
9.0,37,turning,0.333,unit,0,1,1,1,0.363,1,0.35,345.9,0.0,281.5,14.1,64.5,plant_dress_turn
9.5,0,turning,0.167,travel,1,0,1,0,0.411,1,1.424,338.9,252.9,252.9,21.1,86.0,travel_path:turning
9.5,21,turning,0.133,travel,1,0,1,0,0.219,1,1.355,28.1,114.7,114.7,28.1,86.6,travel_path:turning
9.5,35,turning,0.067,travel,1,0,1,0,0.262,1,1.431,14.1,89.1,89.1,14.1,75.0,travel_path:turning
10.0,6,turning,0.2,unit,0,1,1,1,0.4,1,0.245,331.9,0.0,287.1,28.1,44.8,plant_dress_turn
10.0,13,turning,0.2,travel,1,0,1,0,0.369,1,0.801,42.2,151.6,151.6,42.2,109.4,travel_path:turning
10.0,27,turning,0.2,unit,0,1,1,0,0.34,1,0.666,28.1,0.0,118.1,28.1,90.0,plant_dress_turn
10.0,34,turning,0.333,unit,0,1,1,1,0.391,1,0.377,345.9,0.0,274.6,14.1,71.4,plant_dress_turn
